序号	类别	考核项目	考核内容及评价标准	考核评价方法	扣分标准	扣分说明	得分
1	安全管理目标策划（8分）	1.1方针目标（4分）	*制定项目安全生产方针、目标和不低于合同约定的安全控制指标。	查文件、资料。	*未制定项目安全生产方针、目标，扣4分。		
					制定的项目安全生产方针、目标不具体，未以文件形式正式发布，视情节扣1-2分。		
					*制定的安全生产控制指标低于合同约定的安全控制指标，扣4分。		
		1.2策划设计（2分）	制定满足目标要求的安全生产策划方案。	查文件、资料。	未制定安全生产策划方案，扣2分。		
					安全生产策划方案不满足目标要求，视情节扣1-2分。		
					安全生产策划方案可操作性不强，视情节扣1-2分。		
		1.3目标考核（2分）	制定安全生产目标考核与奖惩办法。	查文件、资料。	未制定安全生产目标考核和奖惩办法，扣2分。		
			定期考核年度安全生产目标完成情况，并兑现奖惩。		安全生产目标考核与奖惩办法内容不全面、不具体，视情节扣1-2分。		
					未定期考核安全生产目标完成情况，或考核不连续，视情节扣1-2分。		
					未按办法要求对考核结果实施奖惩，扣1分。		
2	安全生产管理制度（10分）	2.1建立制度体系（4分）	*建立安全生产管理制度体系，应包含安全生产责任制及考核奖惩、安全会议、安全教育培训及技术交底、特种作业人员、安全费用管理、安全风险管控、安全检查及隐患排查、危险作业环节领导带班、事故报告、应急预案、劳动防护用品管理、职业健康、分包管理、作业技术规程、设备安全管理、消防安全管理、临时用电管理等制度。	查文件。	*未建立健全安全生产管理制度体系的，每缺一项扣1分。		
		2.2制度合规性（2分）	安全生产管理制度应符合国家、行业现行的法律法规和规章制度的要求。	查文件。	与现行相关法律法规、规章制度不符的，或未根据项目特点予以更新，发现一处扣1分。		
					制度缺乏可行性、操作性或未执行，视情节扣1-2分。		
		2.3制度执行（2分）	督促检查安全管理制度执行情况。	查文件。	在安全生产责任制考核或安全检查中未对安全管理制度进行督促检查的，扣1分。		
		2.4安全会议（2分）	安全会议管理制度应符合国家、行业现行的法律法规和规章制度的要求。	查文件、资料。	未制定安全会议管理制度，扣1分。		
					未定期召开安全生产领导小组会议或专业安全会议，扣1分。		
					会议记录不完整、不连续，发现一次扣1分。		
3	安全管理机构和人员（10分）	3.1安全组织机构（2分）	成立安全生产领导小组，建立专职安全管理机构，安全组织机构框图悬挂明显位置。	查文件。	未成立安全生产领导小组，扣1分。		
					未建立专职安全管理机构，扣1分。		
					安全组织机构框图未悬挂在明显位置，扣1分。		
		3.2安全管理人员（3分）	*主要负责人和安全生产管理人员经交通运输主管部门对其安全生产知识和管理能力考核合格，持证上岗并与对应岗位人员身份相符。	查证件，	*未按合同要求足额配备专职安全生产管理人员，发现少一人扣1分。		
			安全生产管理人员工作记录完善。	查台账，同时对现场在岗人员对应检查。	*安全生产管理人员未持有效证书，或证书与对应岗位人员身份不相符，发现一例扣1分。		
					安全生产管理人员无工作记录或记录不连续或记录流水账、无实质内容，发现一次扣1分。		
		3.3特殊作业人员（3分）	*特殊作业人员（包括租赁设备自带人员）、爆破相关人员持有效资格证书上岗，证书与从事的工作岗位相对应。	查证件，	*每发现一例特种作业人员、爆破相关人员等未持有效证书，扣1分。		
				查台账，同时对现场在岗人员对应检查。	*持证人在岗情况不明，扣1分。		
