序号	类别	考核项目	考核内容及评价标准	考核评价方法	扣分标准	扣分说明	得分
1	施工现场布设	1.1办公、生活、生产区域以及临时生产、堆存场地布设（8分）	*办公、生活区严禁设置在危险区域。距离集中爆破区应不小于500m。	查看现场。	*办公、生活区设置在危险区域，扣8分。		
	（44分）		*生活区严禁存放易燃易爆等危险品。		*生活区内存放易燃易爆危险品，发现一处扣4分。		
			*装配式房屋应有材料合格证或验收证明，满足安全使用要求。		*装配式房屋不满足安全使用要求的，发现一处扣4分。		
			生产、生活区分别设置并封闭管理，设置满足紧急疏散要求的通道。		办公、生活、生产区未分开设置、布局不合理，或有条件封闭的未封闭管理，未安排专人值班，发现一处扣2分。		
			职工的膳食、饮水、休息场所等应当符合卫生标准。		办公、生活、生产区布置不满足防火防爆要求，发现一处扣4分。		
			施工单位不得在尚未竣工的建筑物内设置员工集体宿舍。		临时生产、堆存场地以及施工区域未结合风险辨识结论实施分区管理的，扣2分。		
			钢筋加工场、预制场、拌和站等区域分区明显。				
		1.2拌和站（5分）	*拌和站基础按照方案施工并经验收合格，排水系统完善，实施封闭管理。	查看现场。	*场地硬化、排水系统不符合要求，扣2分。		
			*拌合及起重设备应设置防倾覆和防雷设施。		*拌合及起重设备未设置防倾覆设施，发现一处扣2分；应设而未设置防雷设施的，发现一处扣2分。		
			料仓墙体强度和稳定性应满足要求，料仓墙体外围应设警戒区。		区域划分不合理，标识不明显，视情节扣1-3分。		
			防雨棚稳固。		料仓墙体外围未设警戒区，扣1分。		
					拌合站未封闭管理，发现一次扣1分。		
					防雨棚不稳固，视情节扣1-2分。		
					拌合站出入口安全防护措施、安全警示标志标牌不足的，视情节扣1-2分。		
		1.3预制场（5分）	*预制场地面应进行硬化处理。	查看现场。	*预制场地面未进行硬化处理，扣2分。		
			*构件存放场地基应进行处理，排水顺畅，满足存放要求。		*存梁场排水不畅，扣2分。		
			*大型构件存放层数和间距符合规范要求，并采取有效防倾覆措施。		*梁板堆放层数不符合规范要求、无防倾覆措施，发现一处扣2分。		
			*张拉作业应设置警戒区，并有安全防护措施。		*张拉作业没有安全防护措施，扣2分。		
			*龙门吊应设置夹轨器、尾端止挡、行程限位器等。		*龙门吊未设置夹轨器、尾端止挡、行程限位器，或龙门吊有行程限位器但失效、或停止作业时未夹轨，发现一处扣2分。		
					*龙门吊轨道地基下沉、轨道松动，视情节扣1-3分。		
					轨道的螺栓未上紧，发现一处扣1分。		
					安全警示标志标牌不足的，视情节扣1-2分。		
		1.4钢筋加工场（5分）	*钢筋加工场设置钢筋加工棚，实行封闭管理。	查看现场。	*钢筋加工场未实行封闭管理，扣2分。		
			*钢筋加工场应设置加工区与材料存放区。材料存放应按照成品、半成品、原材料进行区分。 		*钢筋加工厂未分区管理，现场管理混乱，视情节扣2-3分。		
			*龙门吊应设置夹轨器、尾端止挡、行程限位器等。		*龙门吊未设置夹轨器、尾端止挡、行程限位器，或龙门吊有行程限位器但失效、或停止作业时未夹轨，发现一处扣2分。		
